sample_category	sample_name	Run	filename
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc1	SRR14113588	msns05712.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc10	SRR14112953	msns05865.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc100	SRR14112943	msns05756.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc101	SRR14113585	msns05758.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc102	SRR14113584	msns05760.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc103	SRR14113583	msns05761.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc104	SRR14113582	msns05763.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc105	SRR14113581	msns05764.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc106	SRR14113580	msns05765.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc107	SRR14113579	msns05768.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc108	SRR14113578	msns05769.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc109	SRR14113577	msns05716.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc11	SRR14113586	msns05866.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc110	SRR14113576	msns05770.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc111	SRR14113574	msns05771.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc112	SRR14113573	msns05774.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc113	SRR14113572	msns05777.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc114	SRR14113571	msns05780.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc115	SRR14113570	msns05781.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc116	SRR14113569	msns05782.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc117	SRR14113568	msns05783.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc118	SRR14113567	msns05785.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc119	SRR14113566	msns05787.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc12	SRR14113575	msns05867.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc120	SRR14113565	msns05717.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc121	SRR14113563	msns05790.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc122	SRR14113562	msns05792.fastq.gz
Pre.Tumor.SP	LOH.Pre.Tumor1.SP.sc123	SRR14113561	msns05793.fastq.gz
